UniqueRecruitID,TileID,Cross,Date,RecruitID,Location,ClusterPre,Tank,Survivorship,ClusterPost
1001_1,1001,FF,4/04/2020,1,FaceA,N,CBS,1,0
1005_1,1005,FF,5/02/2020,1,FaceB,N,MOS9,0,NA
1005_2,1005,FF,5/02/2020,2,FaceB,N,MOS9,0,NA
1005_3,1005,FF,5/02/2020,3,FaceB,N,MOS9,0,NA
1005_4,1005,FF,5/02/2020,4,FaceB,N,MOS9,0,NA
1005_5,1005,FF,5/02/2020,5,FaceB,N,MOS9,0,NA
1005_6,1005,FF,5/02/2020,6,FaceB,N,MOS9,0,NA
1005_7,1005,FF,5/02/2020,7,FaceB,N,MOS9,0,NA
1005_8,1005,FF,5/02/2020,8,FaceB,N,MOS9,0,NA
1006_1,1006,FF,5/02/2020,1,FaceB,N,MOS9,0,NA
1006_2,1006,FF,5/02/2020,2,FaceB,N,MOS9,0,NA
1006_3,1006,FF,5/02/2020,3,FaceB,N,MOS9,0,NA
1007_1,1007,FF,6/02/2020,1,FaceB,N,MOS9,0,NA
1007_2,1007,FF,6/02/2020,2,FaceB,N,MOS9,0,NA
1007_3,1007,FF,6/02/2020,3,FaceB,N,MOS9,0,NA
1007_4,1007,FF,6/02/2020,4,FaceB,Y,MOS9,0,NA
1007_5,1007,FF,6/02/2020,5,FaceB,N,MOS9,0,NA
1007_6,1007,FF,6/02/2020,6,FaceB,N,MOS9,0,NA
1007_7,1007,FF,6/02/2020,7,FaceB,N,MOS9,0,NA
1007_8,1007,FF,6/02/2020,8,FaceB,N,MOS9,0,NA
1007_9,1007,FF,6/02/2020,9,FaceB,N,MOS9,0,NA
1007_10,1007,FF,6/02/2020,10,FaceB,N,MOS9,0,NA
1007_11,1007,FF,6/02/2020,11,FaceB,N,MOS9,0,NA
1007_12,1007,FF,6/02/2020,12,FaceB,N,MOS9,0,NA
1007_13,1007,FF,6/02/2020,13,FaceB,N,MOS9,0,NA
1007_14,1007,FF,6/02/2020,14,FaceB,N,MOS9,0,NA
1008_1,1008,FF,4/02/2020,1,FaceB,N,CBS,0,NA
1009_1,1009,FF,4/02/2020,1,FaceB,N,CBS,0,NA
1010_1,1010,FF,4/03/2020,1,FaceA,N,CBS,0,NA
1010_2,1010,FF,4/03/2020,2,FaceA,N,CBS,0,NA
1010_3,1010,FF,4/03/2020,3,FaceA,N,CBS,0,NA
1010_4,1010,FF,4/03/2020,4,FaceB,N,CBS,0,NA
1013_1,1013,FF,30/01/2020,1,FaceB,N,SUMP,0,NA
1013_2,1013,FF,30/01/2020,2,FaceB,N,SUMP,0,NA
1013_3,1013,FF,30/01/2020,3,FaceB,N,SUMP,0,NA
1013_4,1013,FF,30/01/2020,4,FaceB,N,SUMP,0,NA
1013_5,1013,FF,30/01/2020,5,FaceB,N,SUMP,0,NA
1013_6,1013,FF,30/01/2020,6,FaceB,N,SUMP,0,NA
1013_7,1013,FF,30/01/2020,7,FaceB,N,SUMP,0,NA
1013_8,1013,FF,30/01/2020,8,FaceB,N,SUMP,0,NA
1013_9,1013,FF,30/01/2020,9,FaceB,N,SUMP,0,NA
1015_1,1015,FF,30/01/2020,1,FaceB,N,SUMP,0,NA
1015_2,1015,FF,30/01/2020,2,FaceB,N,SUMP,0,NA
1016_1,1016,FF,6/02/2020,1,FaceA,N,MOS9,0,NA
1016_2,1016,FF,6/02/2020,2,FaceA,N,MOS9,0,NA
1016_3,1016,FF,6/02/2020,3,FaceA,N,MOS9,0,NA
1016_4,1016,FF,6/02/2020,4,FaceA,N,MOS9,0,NA
1016_5,1016,FF,6/02/2020,5,FaceA,N,MOS9,0,NA
1016_6,1016,FF,6/02/2020,6,FaceA,N,MOS9,0,NA
1016_7,1016,FF,6/02/2020,7,FaceA,N,MOS9,0,NA
1016_8,1016,FF,6/02/2020,8,FaceA,N,MOS9,0,NA
1016_9,1016,FF,6/02/2020,9,FaceA,N,MOS9,0,NA
1016_10,1016,FF,6/02/2020,10,FaceA,N,MOS9,0,NA
1016_11,1016,FF,6/02/2020,11,FaceA,N,MOS9,0,NA
1016_12,1016,FF,6/02/2020,12,FaceA,N,MOS9,0,NA
1016_13,1016,FF,6/02/2020,13,FaceA,N,MOS9,0,NA
1016_14,1016,FF,6/02/2020,14,FaceA,N,MOS9,0,NA
1016_15,1016,FF,6/02/2020,15,FaceA,N,MOS9,0,NA
