TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Location,TimePoint,Date,Survival,Month
1668,SS,1,1,1,1,1668_1,Face,0,4/09/2020,1,Sep-20
1463,SF,1,1,1,1,1463_1,Top,0,4/09/2020,1,Sep-20
1441,SF,1,1,1,1,1441_1,Face,0,4/09/2020,1,Sep-20
1388,FS,1,1,1,2,1388_2,Top,0,4/09/2020,1,Sep-20
3215,FS,2,1,1,2,3215_2,Face,0,4/09/2020,1,Sep-20
1539,SF,2,1,1,1,1539_1,Top,0,4/09/2020,1,Sep-20
1104,FF,3,2,1,1,1104_1,Face,0,4/09/2020,1,Sep-20
1017,FF,4,2,1,1,1017_1,Face,0,4/09/2020,1,Sep-20
1198,FF,4,2,1,1,1198_1,Top,0,4/09/2020,1,Sep-20
1170,FF,4,2,1,1,1170_1,Top,0,4/09/2020,1,Sep-20
1170,FF,4,2,1,2,1170_2,Top,0,4/09/2020,1,Sep-20
1308,FS,5,3,1,1,1308_1,Top,0,4/09/2020,1,Sep-20
1272,FS,5,3,1,2,1272_2,Face,0,4/09/2020,1,Sep-20
1474,SF,5,3,1,1,1474_1,Face,0,4/09/2020,1,Sep-20
1738,SS,5,3,1,1,1738_1,Top,0,4/09/2020,1,Sep-20
1738,SS,5,3,1,2,1738_2,Top,0,4/09/2020,1,Sep-20
1738,SS,5,3,1,3,1738_3,Face,0,4/09/2020,1,Sep-20
1254,FS,5,3,1,1,1254_1,Top,0,4/09/2020,1,Sep-20
1254,FS,5,3,1,2,1254_2,Top,0,4/09/2020,1,Sep-20
1254,FS,5,3,1,3,1254_3,Face,0,4/09/2020,1,Sep-20
1254,FS,5,3,1,4,1254_4,Face,0,4/09/2020,1,Sep-20
1254,FS,5,3,1,6,1254_6,Side,0,4/09/2020,1,Sep-20
1649,SS,5,3,1,1,1649_1,Face,0,4/09/2020,1,Sep-20
1649,SS,5,3,1,2,1649_2,Face,0,4/09/2020,1,Sep-20
1649,SS,5,3,1,3,1649_3,Face,0,4/09/2020,1,Sep-20
1124,FF,6,3,1,1,1124_1,Side,0,4/09/2020,1,Sep-20
1124,FF,6,3,1,2,1124_2,Side,0,4/09/2020,1,Sep-20
1124,FF,6,3,1,3,1124_3,Side,0,4/09/2020,1,Sep-20
1124,FF,6,3,1,4,1124_4,Side,0,4/09/2020,1,Sep-20
1124,FF,6,3,1,5,1124_5,Side,0,4/09/2020,1,Sep-20
1124,FF,6,3,1,6,1124_6,Side,0,4/09/2020,1,Sep-20
1124,FF,6,3,1,7,1124_7,Side,0,4/09/2020,1,Sep-20
1676,SS,7,4,1,1,1676_1,Top,0,4/09/2020,1,Sep-20
1676,SS,7,4,1,2,1676_2,Face,0,4/09/2020,1,Sep-20
1676,SS,7,4,1,3,1676_3,Face,0,4/09/2020,1,Sep-20
1676,SS,7,4,1,4,1676_4,Face,0,4/09/2020,1,Sep-20
1676,SS,7,4,1,5,1676_5,Face,0,4/09/2020,1,Sep-20
1660,SS,7,4,1,1,1660_1,Side,0,4/09/2020,1,Sep-20
1660,SS,7,4,1,2,1660_2,Side,0,4/09/2020,1,Sep-20
1660,SS,7,4,1,3,1660_3,Side,0,4/09/2020,1,Sep-20
1660,SS,7,4,1,4,1660_4,Side,0,4/09/2020,1,Sep-20
1374,FS,7,4,1,1,1374_1,Face,0,4/09/2020,1,Sep-20
1106,FF,8,4,1,1,1106_1,Side,0,4/09/2020,1,Sep-20
1419,SF,8,4,1,1,1419_1,Side,0,4/09/2020,1,Sep-20
1267,FS,9,5,1,1,1267_1,Face,0,4/09/2020,1,Sep-20
1045,FF,9,5,1,1,1045_1,Side,0,4/09/2020,1,Sep-20
1045,FF,9,5,1,2,1045_2,Face,0,4/09/2020,1,Sep-20
1715,SS,9,5,1,1,1715_1,Face,0,4/09/2020,1,Sep-20
1715,SS,9,5,1,2,1715_2,Face,0,4/09/2020,1,Sep-20
1715,SS,9,5,1,4,1715_4,Side,0,4/09/2020,1,Sep-20
1468,SF,9,5,1,1,1468_1,Side,0,4/09/2020,1,Sep-20
1663,SS,10,5,1,1,1663_1,Side,0,4/09/2020,1,Sep-20
1780,SS,10,5,1,1,1780_1,Side,0,4/09/2020,1,Sep-20
1604,SS,11,6,1,1,1604_1,Side,0,4/09/2020,1,Sep-20
1604,SS,11,6,1,2,1604_2,Side,0,4/09/2020,1,Sep-20
1235,FS,11,6,1,1,1235_1,Face,0,4/09/2020,1,Sep-20
1235,FS,11,6,1,2,1235_2,Face,0,4/09/2020,1,Sep-20
