TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Time,Days,Date,Deployment,Survival
1668,SS,1,1,1,1,1668_1,6,191,30/03/2021,20/09/2020,1
1463,SF,1,1,1,1,1463_1,6,191,30/03/2021,20/09/2020,1
1441,SF,1,1,1,1,1441_1,2,59,18/11/2020,20/09/2020,2
1388,FS,1,1,1,2,1388_2,6,191,30/03/2021,20/09/2020,1
3215,FS,2,1,1,2,3215_2,2,59,18/11/2020,20/09/2020,2
1539,SF,2,1,1,1,1539_1,6,191,30/03/2021,20/09/2020,1
1104,FF,3,2,1,1,1104_1,6,191,30/03/2021,20/09/2020,2
1017,FF,4,2,1,1,1017_1,4,129,27/01/2021,20/09/2020,2
1198,FF,4,2,1,1,1198_1,6,191,30/03/2021,20/09/2020,1
1170,FF,4,2,1,1,1170_1,6,191,30/03/2021,20/09/2020,1
1170,FF,4,2,1,2,1170_2,6,191,30/03/2021,20/09/2020,2
1308,FS,5,3,1,1,1308_1,6,191,30/03/2021,20/09/2020,1
1272,FS,5,3,1,2,1272_2,6,191,30/03/2021,20/09/2020,2
1474,SF,5,3,1,1,1474_1,2,59,18/11/2020,20/09/2020,2
1738,SS,5,3,1,1,1738_1,6,191,30/03/2021,20/09/2020,1
1738,SS,5,3,1,2,1738_2,6,191,30/03/2021,20/09/2020,1
1738,SS,5,3,1,3,1738_3,6,191,30/03/2021,20/09/2020,1
1254,FS,5,3,1,1,1254_1,2,59,18/11/2020,20/09/2020,NA
1254,FS,5,3,1,2,1254_2,2,59,18/11/2020,20/09/2020,NA
1254,FS,5,3,1,3,1254_3,2,59,18/11/2020,20/09/2020,NA
1254,FS,5,3,1,4,1254_4,2,59,18/11/2020,20/09/2020,NA
1254,FS,5,3,1,6,1254_6,6,191,30/03/2021,20/09/2020,1
1649,SS,5,3,1,1,1649_1,2,59,18/11/2020,20/09/2020,NA
1649,SS,5,3,1,2,1649_2,2,59,18/11/2020,20/09/2020,NA
